Timestamp,n-transactions
2010-03-20 00:00:00,142.85714285714286
2010-03-23 00:00:00,165.57142857142858
2010-03-26 00:00:00,192.28571428571428
2010-03-29 00:00:00,197
2010-04-01 00:00:00,204.71428571428572
2010-04-04 00:00:00,191.42857142857142
2010-04-07 00:00:00,179.71428571428572
2010-04-10 00:00:00,189.57142857142858
2010-04-13 00:00:00,229.57142857142858
2010-04-16 00:00:00,250.85714285714286
2010-04-19 00:00:00,686.2857142857143
2010-04-22 00:00:00,699.2857142857143
2010-04-25 00:00:00,674.5714285714286
2010-04-28 00:00:00,214.42857142857142
2010-05-01 00:00:00,204
2010-05-04 00:00:00,198.28571428571428
2010-05-07 00:00:00,180.57142857142858
2010-05-10 00:00:00,175.28571428571428
2010-05-13 00:00:00,163.71428571428572
2010-05-16 00:00:00,151.71428571428572
2010-05-19 00:00:00,160.71428571428572
2010-05-22 00:00:00,189.42857142857142
2010-05-25 00:00:00,241
2010-05-28 00:00:00,261.14285714285717
2010-05-31 00:00:00,253.42857142857142
2010-06-03 00:00:00,222
2010-06-06 00:00:00,195.57142857142858
2010-06-09 00:00:00,203.42857142857142
2010-06-12 00:00:00,215.14285714285714
2010-06-15 00:00:00,230.85714285714286
2010-06-18 00:00:00,231.57142857142858
2010-06-21 00:00:00,222.57142857142858
2010-06-24 00:00:00,223.57142857142858
2010-06-27 00:00:00,229.28571428571428
2010-06-30 00:00:00,233.71428571428572
2010-07-03 00:00:00,246.71428571428572
2010-07-06 00:00:00,260.42857142857144
2010-07-09 00:00:00,236.14285714285714
2010-07-12 00:00:00,251.71428571428572
2010-07-15 00:00:00,1570.7142857142858
2010-07-18 00:00:00,1883.2857142857142
2010-07-21 00:00:00,1513.2857142857142
2010-07-24 00:00:00,460.14285714285717
2010-07-27 00:00:00,721.2857142857143
2010-07-30 00:00:00,1119.857142857143
2010-08-02 00:00:00,813.5714285714286
2010-08-05 00:00:00,619.4285714285714
2010-08-08 00:00:00,428
2010-08-11 00:00:00,391.57142857142856
2010-08-14 00:00:00,392.57142857142856
2010-08-17 00:00:00,408.85714285714283
2010-08-20 00:00:00,391.14285714285717
2010-08-23 00:00:00,372
2010-08-26 00:00:00,367
2010-08-29 00:00:00,354.2857142857143
2010-09-01 00:00:00,342.2857142857143
2010-09-04 00:00:00,341.2857142857143
2010-09-07 00:00:00,332
2010-09-10 00:00:00,303.85714285714283
2010-09-13 00:00:00,323.85714285714283
2010-09-16 00:00:00,379.7142857142857
