Timestamp,mempool-size
2016-07-14 14:45:00,7440703.913888888
2016-07-15 20:45:00,6528545.370138889
2016-07-17 02:45:00,5525984.435416667
2016-07-18 08:45:00,4557238.464756944
2016-07-19 14:45:00,4274953.709375
2016-07-20 20:45:00,4275873.487847222
2016-07-22 02:45:00,4213832.384895833
2016-07-23 08:45:00,3988039.395138889
2016-07-24 14:45:00,3580623.4972222224
2016-07-25 20:45:00,3214050.8734375
2016-07-27 02:45:00,3377121.6631944445
2016-07-28 08:45:00,3600229.4090277776
2016-07-29 14:45:00,3642900.6166666667
2016-07-30 20:45:00,3802047.4128472223
2016-08-01 02:45:00,3834736.6354166665
2016-08-02 08:45:00,3885994.3894097223
2016-08-03 14:45:00,3973882.0109375
2016-08-04 20:45:00,4032192.7182291667
2016-08-06 02:45:00,4171153.519097222
2016-08-07 08:45:00,4162204.403125
2016-08-08 14:45:00,4237349.539756944
2016-08-09 20:45:00,4348803.141493056
2016-08-11 02:45:00,4456290.335243056
2016-08-12 08:45:00,4462668.267361111
2016-08-13 14:45:00,4359249.06875
2016-08-14 20:45:00,4273045.13125
2016-08-16 02:45:00,4398640.756076389
2016-08-17 08:45:00,4519895.687847222
2016-08-18 14:45:00,4539647.356944445
2016-08-19 20:45:00,4511226.970486111
2016-08-21 02:45:00,4459885.364930555
2016-08-22 08:45:00,4333399.867361112
2016-08-23 14:45:00,4334916.714930556
2016-08-24 20:45:00,4341689.615625
2016-08-26 02:45:00,4343912.922395834
2016-08-27 08:45:00,4158250.191145833
2016-08-28 14:45:00,4105928.937152778
2016-08-29 20:45:00,3885915.3996527777
2016-08-31 02:45:00,3909580.3329861113
2016-09-01 08:45:00,3886020.847222222
2016-09-02 14:45:00,3817228.5850694445
2016-09-03 20:45:00,3693136.4013888887
2016-09-05 02:45:00,3529875.961284722
2016-09-06 08:45:00,3690726.6651041666
2016-09-07 14:45:00,3629289.2555555557
2016-09-08 20:45:00,3573346.073784722
2016-09-10 02:45:00,3505392.417708333
2016-09-11 08:45:00,3463254.968402778
2016-09-12 14:45:00,3430545.089236111
2016-09-13 20:45:00,3499868.7083333335
2016-09-15 02:45:00,3390303.1748263887
2016-09-16 08:45:00,3306457.871354167
2016-09-17 14:45:00,3342607.121527778
2016-09-18 20:45:00,3362052.784895833
2016-09-20 02:45:00,3427619.5559027777
2016-09-21 08:45:00,3464000.984548611
2016-09-22 14:45:00,3457973.601388889
2016-09-23 20:45:00,3439300.537152778
2016-09-25 02:45:00,3305302.96875
2016-09-26 08:45:00,3214608.957118056
2016-09-27 14:45:00,3222902.6197916665
2016-09-28 20:45:00,3244111.3901041667
2016-09-30 02:45:00,3183979.242013889
2016-10-01 08:45:00,3168659.9484375
2016-10-02 14:45:00,3150176.4421875
2016-10-03 20:45:00,3221362.856076389
2016-10-05 02:45:00,3332831.3772569443
2016-10-06 08:45:00,3242876.2411458334
2016-10-07 14:45:00,3264229.7784722224
2016-10-08 20:45:00,3219781.534375
2016-10-10 02:45:00,3163277.8310763887
2016-10-11 08:45:00,3384080.707638889
2016-10-12 14:45:00,3602670.4616319444
2016-10-13 20:45:00,3643298.879513889
2016-10-15 02:45:00,3767442.504513889
2016-10-16 08:45:00,3779994.710763889
2016-10-17 14:45:00,3690497.2817708333
2016-10-18 20:45:00,3796819.1376736113
2016-10-20 02:45:00,3912623.797048611
2016-10-21 08:45:00,4112866.979861111
2016-10-22 14:45:00,4125791.396527778
2016-10-23 20:45:00,4128491.859722222
2016-10-25 02:45:00,4274383.742361112
2016-10-26 08:45:00,4698329.026388889
2016-10-27 14:45:00,5625345.945833334
2016-10-28 20:45:00,5721026.489930555
2016-10-30 02:45:00,5713727.338541667
2016-10-31 08:45:00,5701027.351909722
2016-11-01 14:45:00,5761124.142361111
2016-11-02 20:45:00,5811214.292534722
2016-11-04 02:45:00,5764868.319097222
2016-11-05 08:45:00,5820594.212847223
2016-11-06 13:45:00,5811660.268923611
2016-11-07 19:45:00,5876172.829513889
2016-11-09 01:45:00,5983688.728298611
2016-11-10 07:45:00,5849096.266493056
2016-11-11 13:45:00,5660806.237847222
2016-11-12 19:45:00,5598364.897222222
2016-11-14 01:45:00,5490616.401736111
2016-11-15 07:45:00,5483836.124826388
2016-11-16 13:45:00,5472749.153298611
2016-11-17 19:45:00,5372013.350347222
2016-11-19 01:45:00,5317427.175173611
2016-11-20 07:45:00,5137354.162673611
2016-11-21 13:45:00,5341641.604861111
2016-11-22 19:45:00,6205588.035069444
2016-11-24 01:45:00,7460876.667708334
2016-11-25 07:45:00,8476904.946527777
2016-11-26 13:45:00,8405175.810590278
2016-11-27 19:45:00,8431710.057118056
2016-11-29 01:45:00,8586855.292881945
2016-11-30 07:45:00,8691918.873263888
2016-12-01 13:45:00,8792042.011284722
2016-12-02 19:45:00,9524025.056944445
2016-12-04 01:45:00,9842256.515451388
2016-12-05 07:45:00,9856566.658159722
2016-12-06 13:45:00,10209679.5453125
2016-12-07 19:45:00,10396128.802604167
2016-12-09 01:45:00,10396895.106944444
2016-12-10 07:45:00,10485218.08125
2016-12-11 13:45:00,10599626.816145834
2016-12-12 19:45:00,10678763.025347222
2016-12-14 01:45:00,10784664.163020832
2016-12-15 07:45:00,10959913.131423611
2016-12-16 13:45:00,11448892.00486111
2016-12-17 19:45:00,11741484.001041668
2016-12-19 01:45:00,11909066.406597223
2016-12-20 07:45:00,12151739.488368055
2016-12-21 13:45:00,12363248.813194444
2016-12-22 19:45:00,11804968.77013889
2016-12-24 01:45:00,10689089.320138888
